,PDB,Updated
0,1AB2,
1,1OPL,
2,1OPL,
3,2ABL,
4,2FO0,
5,3K2M,
6,3K2M,
7,3T04,
8,3UYO,
9,4XEY,
10,5DC0,
11,5DC4,
12,5DC9,
13,5MO4,
14,6AMV,
15,6AMW,
16,2ECD,
17,4EIH,
18,2EKX,
19,2GE9,
20,3CXL,
21,1XA6,
22,1JU5,
23,2DVJ,
24,2EYV,
25,2EYY,
26,2EYZ,
27,2EO3,
28,2LQN,
29,2LQW,
30,3EAC,
31,3EAZ,
32,2KK6,
33,6KC4,
34,6KC4,
35,6KC4,
36,6KC4,
37,6KC4,
38,6KC4,
39,1WQU,
40,2DCR,
41,3BKB,
42,3CBL,
43,3CD3,
44,4E93,
45,6JMF,
46,1AOT,
47,1AOU,
48,1G83,
49,1G83,
50,2MQI,
51,2MRJ,
52,2MRK,
53,4U17,
54,4U17,
55,4U17,
56,4U1P,
57,5GJH,
58,5GJH,
59,1NRV,
60,1NRV,
61,2AUG,
62,2AUG,
63,1BM2,
64,1BMB,
65,1CJ1,
66,1CJ1,
67,1CJ1,
68,1CJ1,
69,1CJ1,
70,1CJ1,
71,1CJ1,
72,1CJ1,
73,1CJ1,
74,1CJ1,
75,1CJ1,
76,1CJ1,
77,1FHS,
78,1FYR,
79,1FYR,
80,1FYR,
81,1FYR,
82,1GHU,
83,1GRI,
84,1GRI,
85,1JYQ,
86,1JYQ,
87,1JYR,
88,1JYU,
89,1QG1,
90,1TZE,
91,1X0N,
92,1ZFP,
93,2AOA,
94,2AOA,
95,2AOB,
96,2AOB,
97,2AOB,
98,2AOB,
99,2H46,
100,2H5K,
101,2H5K,
102,2HUW,
103,2HUW,
104,3C7I,
105,3IMD,
106,3IMD,
107,3IMJ,
108,3IMJ,
109,3IN7,
110,3IN7,
111,3IN8,
112,3KFJ,
113,3MXC,
114,3MXY,
115,3N7Y,
116,3N7Y,
117,3N7Y,
118,3N84,
119,3N84,
120,3N84,
121,3N84,
122,3N84,
123,3N84,
124,3N8M,
125,3OV1,
126,3OVE,
127,3S8L,
128,3S8N,
129,3S8O,
130,3WA4,
131,4P9V,
132,4P9Z,
133,5CDW,
134,5CDW,
135,5CDW,
136,5CDW,
137,5CDW,
138,5CDW,
139,5CDW,
140,5CDW,
141,5CDW,
142,5CDW,
143,5CDW,
144,5CDW,
145,5CDW,
146,5CDW,
147,5CDW,
148,5CDW,
149,6ICG,
150,6ICG,
151,6ICH,
152,1MW4,
153,2L4K,
154,2QMS,
155,2QMS,
156,2QMS,
157,2QMS,
158,3PQZ,
159,3PQZ,
160,3PQZ,
161,3PQZ,
162,4WWQ,
163,4WWQ,
164,4X6S,
165,4X6S,
166,5D0J,
167,5D0J,
168,5D0J,
169,5D0J,
170,5EEL,
171,5EEL,
172,5EEL,
173,5EEL,
174,5EEL,
175,5EEL,
176,5EEQ,
177,5EEQ,
178,5TYI,
179,5TYI,
180,5TYI,
181,5TYI,
182,5U06,
183,5U06,
184,5U06,
185,5U06,
186,5U1Q,
187,5U1Q,
188,5U1Q,
189,5U1Q,
190,1AD5,
191,1AD5,
192,1QCF,
193,2C0I,
194,2C0I,
195,2C0O,
196,2C0O,
197,2C0T,
198,2C0T,
199,2HCK,
200,2HCK,
201,3HCK,
202,3NHN,
203,3VRY,
204,3VRY,
205,3VRZ,
206,3VRZ,
207,3VS0,
208,3VS0,
209,3VS1,
210,3VS1,
211,3VS2,
212,3VS2,
213,3VS3,
214,3VS3,
215,3VS4,
216,3VS4,
217,3VS5,
218,3VS5,
219,3VS6,
220,3VS6,
221,3VS7,
222,3VS7,
223,4LUD,
224,4LUD,
225,4LUE,
226,4LUE,
227,4U5W,
228,4U5W,
229,5H09,
230,5H0B,
231,5H0E,
232,5H0G,
233,5H0H,
234,2CS0,
235,2YSX,
236,2MK2,
237,4Z32,
238,4Z32,
239,4Z32,
240,4Z32,
241,4Z32,
242,4Z32,
243,4Z32,
244,6E2P,
245,6E2P,
246,6E2Q,
247,6E2Q,
248,6E2Q,
249,6E2Q,
250,1BHF,
251,1BHH,
252,1BHH,
253,1CWD,
254,1CWE,
255,1CWE,
256,1FBZ,
257,1FBZ,
258,1IJR,
259,1LCJ,
260,1LCK,
261,1LKK,
262,1LKL,
263,1X27,
264,1X27,
265,1X27,
266,1X27,
267,1X27,
268,1X27,
269,4D8K,
270,5MTM,
271,5MTN,
272,1JWO,
273,3US4,
274,2CI8,
275,2CI9,
276,2CI9,
277,1Z3K,
278,2CIA,
279,1H9O,
280,1PIC,
281,5AUL,
282,4JPS,
283,2IUG,
284,2IUH,
285,2IUI,
286,2IUI,
287,3HHM,
288,3HIZ,
289,4L1B,
290,4L23,
291,4L2Y,
292,4OVU,
293,4OVV,
294,4WAF,
295,4YKN,
296,4ZOP,
297,5FI4,
298,5GJI,
299,5ITD,
300,5SWG,
301,5SWO,
302,5SWP,
